scaling,pca_components,k,metric,weights,mean_macro_f1,std_macro_f1,fold1_macro_f1,fold2_macro_f1,fold3_macro_f1,fold4_macro_f1,fold5_macro_f1
minmax,30,3,manhattan,distance,0.8115396167411971,0.007534172635915173,0.8159556943908116,0.81835321400753,0.7991482716635057,0.8177627813678724,0.8064781222762658
standard,50,3,euclidean,distance,0.8114410593463711,0.009474398545225754,0.8121498583098484,0.8230494027454454,0.7982043887898354,0.8202054273789944,0.8035962195077324
minmax,30,7,manhattan,uniform,0.8114008918451561,0.009079208558975307,0.8199748888613122,0.8165194750330175,0.8073210391394483,0.8177659057756808,0.7954231504163215
standard,50,3,cosine,uniform,0.8110654105579599,0.01001921304082513,0.8179489988609848,0.8207586392849981,0.7965352308622059,0.8186258030499424,0.8014583807316684
standard,50,7,cosine,uniform,0.8103726858330852,0.012398139328593216,0.7976187687882261,0.8171385671557421,0.8110901717740748,0.8295265201406472,0.796489401306736
standard,30,7,euclidean,distance,0.8103217322756728,0.0076724057061727325,0.8066906493742779,0.8089363542978469,0.7985875360530816,0.8179092176439632,0.8194849040091949
minmax,50,3,euclidean,uniform,0.8103172124063622,0.010082823168192978,0.8106031961618255,0.8236591016608464,0.8013687666046133,0.8189138057166805,0.7970411918878451
standard,50,5,cosine,uniform,0.8101363578491464,0.01093027400493449,0.8005297536949243,0.8217534885114489,0.807517999339856,0.8239137542790944,0.7969667934204081
standard,30,7,manhattan,distance,0.8097440683997015,0.008870517429806973,0.8041618618942493,0.8216588690231555,0.7991029173563998,0.818890877415761,0.8049058163089414
standard,30,5,cosine,distance,0.8097002540544572,0.007653967446706927,0.7969139603938228,0.8171908775133163,0.8068563151671082,0.8177764744873791,0.8097636427106603
standard,100,3,euclidean,uniform,0.8093835878644832,0.012020508677030665,0.818200808693866,0.8226511457004484,0.8097141267188677,0.8086008795720907,0.7877509786371425
minmax,30,3,euclidean,distance,0.809306175999601,0.01121146257406339,0.8079449643144179,0.8235363576869785,0.7987793088956582,0.8205965819917896,0.7956736671091603
minmax,100,1,cosine,uniform,0.8092077162446284,0.005364942087506118,0.8014252448261093,0.8180279215875933,0.8106770256999039,0.8083067784526387,0.8076016106568968
minmax,100,1,cosine,distance,0.8092077162446284,0.005364942087506118,0.8014252448261093,0.8180279215875933,0.8106770256999039,0.8083067784526387,0.8076016106568968
standard,50,3,euclidean,uniform,0.8090049544505306,0.010367474519008647,0.8147537157858231,0.8204444374744719,0.7959794020228418,0.8168024645081375,0.7970447524613784
standard,30,7,cosine,uniform,0.808780405568041,0.005355014554901391,0.8049045855190904,0.8179211136729057,0.8028661867710449,0.8112979662303644,0.8069121756467993
minmax,30,5,euclidean,uniform,0.8080592981493883,0.006642381745010404,0.8091599496577615,0.8142536581657778,0.7979147494684713,0.8155690008904234,0.8033991325645079
standard,100,1,cosine,uniform,0.8077053465214549,0.007937317655194573,0.8055575029878203,0.8176239206212881,0.8103612169467619,0.8111696914996891,0.7938144005517154
standard,100,1,cosine,distance,0.8077053465214549,0.007937317655194573,0.8055575029878203,0.8176239206212881,0.8103612169467619,0.8111696914996891,0.7938144005517154
standard,30,5,euclidean,distance,0.8075180934102333,0.005123817063788149,0.8045654392548179,0.8154675278268984,0.8017435795503429,0.811492234767812,0.8043216856512952
standard,30,5,manhattan,distance,0.8073830323923632,0.008341973946153986,0.8060804345362762,0.822382681480508,0.805675290248408,0.8062085574722542,0.7965681982243702
standard,30,7,manhattan,uniform,0.8072917944545679,0.00892914042098068,0.8029982835869767,0.8203235805633581,0.8007934856855978,0.8152726165887861,0.7970710058481211
minmax,100,1,euclidean,uniform,0.8071535991224025,0.006337574441797666,0.8131012038501106,0.8124435687257578,0.8091073749501586,0.8053871770459805,0.7957286710400048
minmax,100,1,euclidean,distance,0.8071535991224025,0.006337574441797666,0.8131012038501106,0.8124435687257578,0.8091073749501586,0.8053871770459805,0.7957286710400048
minmax,30,3,euclidean,uniform,0.8070577913117372,0.013417280998831617,0.8076160889686429,0.8245659891157043,0.793870081621736,0.8188916513530998,0.7903451454995032
minmax,30,3,cosine,uniform,0.8069957907796667,0.01099866866031693,0.8011399398608162,0.8218497394139668,0.7993512715754681,0.8183723832119021,0.7942656198361795
standard,30,3,manhattan,distance,0.8061743453182111,0.008933985740698468,0.8067959223275052,0.8223895185712282,0.7989427352268865,0.8056924673709094,0.7970510830945254
standard,30,3,cosine,distance,0.8061652582863532,0.009852838924771292,0.7980215893351186,0.8237554367416546,0.8062929795291904,0.8070265582834913,0.7957297275423112
standard,30,3,euclidean,distance,0.8058551540030429,0.008148570003411215,0.7978084419655141,0.8190864072431314,0.797273557490741,0.8100801948179358,0.8050271684978922
standard,30,3,euclidean,uniform,0.8056988050636423,0.009922181753307405,0.8017683624686927,0.8154360216577524,0.7923676738064451,0.8188407398479564,0.8000812275373645
standard,100,1,manhattan,distance,0.8053913002263899,0.01358579667918242,0.8172683502945135,0.815238102543528,0.8074098937704723,0.807643089220871,0.7793970653025644
standard,100,1,manhattan,uniform,0.8053913002263899,0.01358579667918242,0.8172683502945135,0.815238102543528,0.8074098937704723,0.807643089220871,0.7793970653025644
standard,50,1,cosine,uniform,0.8053082438369868,0.007638748858396999,0.8067030535054419,0.8105692020005761,0.8014941804373408,0.8149224386107414,0.7928523446308338
standard,50,1,cosine,distance,0.8053082438369868,0.007638748858396999,0.8067030535054419,0.8105692020005761,0.8014941804373408,0.8149224386107414,0.7928523446308338
standard,30,5,cosine,uniform,0.8051659708779493,0.011126751378836067,0.7889336605619491,0.8177792036353996,0.8057073258370868,0.8164877813508948,0.7969218830044167
standard,30,7,euclidean,uniform,0.8050401216540749,0.007688455795155947,0.7999345118514645,0.8118426563626773,0.7927207895053627,0.8076093989227864,0.8130932516280833
minmax,100,1,manhattan,uniform,0.8039605408238477,0.007715961110159223,0.8033801364871291,0.8057807281725966,0.8127388737164688,0.8080835657822177,0.7898193999608266
minmax,100,1,manhattan,distance,0.8039605408238477,0.007715961110159223,0.8033801364871291,0.8057807281725966,0.8127388737164688,0.8080835657822177,0.7898193999608266
minmax,30,3,manhattan,uniform,0.8038602602598696,0.008133490244094875,0.8102552886738283,0.8108010464005106,0.7947519052550213,0.8104009969350917,0.793092064034896
minmax,50,1,manhattan,distance,0.8036635472342452,0.01112679700052921,0.8082996088148227,0.8076663253280746,0.812960367651713,0.8076231673751642,0.7817682670014515
minmax,50,1,manhattan,uniform,0.8036635472342452,0.01112679700052921,0.8082996088148227,0.8076663253280746,0.812960367651713,0.8076231673751642,0.7817682670014515
standard,30,3,manhattan,uniform,0.8033690057657861,0.009076695984040645,0.805590841805191,0.8166441468087425,0.7984540926280675,0.8067560990236492,0.7893998485632798
standard,30,3,cosine,uniform,0.8033284479253664,0.011138987280895159,0.79817601089228,0.8201702872919924,0.7946624976931803,0.8125526592547526,0.7910807844946273
standard,100,1,euclidean,uniform,0.8030325532555901,0.01124041958945013,0.8037207694038117,0.8180437828627888,0.8075718944305654,0.802413545057264,0.7834127745235213
standard,100,1,euclidean,distance,0.8030325532555901,0.01124041958945013,0.8037207694038117,0.8180437828627888,0.8075718944305654,0.802413545057264,0.7834127745235213
standard,50,1,manhattan,distance,0.8027987861432123,0.007012645442908411,0.8095706972276459,0.8109315492971986,0.8025084031207459,0.7991667111545115,0.7918165699159598
standard,50,1,manhattan,uniform,0.8027987861432123,0.007012645442908411,0.8095706972276459,0.8109315492971986,0.8025084031207459,0.7991667111545115,0.7918165699159598
standard,30,5,manhattan,uniform,0.8027442010666951,0.008474517612936933,0.8073029746243522,0.8120529421894641,0.7976571775930849,0.808029332600164,0.7886785783264095
